certified_per_keyper_resistance_usd,total_stress_targets,covered_stress_targets,empirical_certificate_coverage,empirical_certificate_coverage_pct
2600,1.46317e+06,1.423449e+06,0.9728527785561486,97.28527785561486
2625,1.46317e+06,1.423782e+06,0.9730803666012835,97.30803666012835
2650,1.46317e+06,1.424249e+06,0.9733995366225388,97.33995366225388
2675,1.46317e+06,1.424599e+06,0.9736387432765844,97.36387432765844
2700,1.46317e+06,1.424887e+06,0.9738355761804849,97.38355761804848
2725,1.46317e+06,1.425098e+06,0.9739797836204952,97.39797836204953
2750,1.46317e+06,1.425616e+06,0.9743338094684828,97.43338094684829
2775,1.46317e+06,1.425928e+06,0.974547045114375,97.4547045114375
2800,1.46317e+06,1.426207e+06,0.9747377269900285,97.47377269900285
2825,1.46317e+06,1.426531e+06,0.9749591640069165,97.49591640069166
2850,1.46317e+06,1.426738e+06,0.9751006376565949,97.5100637656595
2875,1.46317e+06,1.426908e+06,0.9752168237457028,97.52168237457028
2900,1.46317e+06,1.42715e+06,0.9753822180607858,97.53822180607858
2925,1.46317e+06,1.427362e+06,0.9755271089483792,97.55271089483792
2950,1.46317e+06,1.427601e+06,0.9756904529207132,97.56904529207132
2975,1.46317e+06,1.427891e+06,0.9758886527197796,97.58886527197797
3000,1.46317e+06,1.428414e+06,0.9762460958056822,97.62460958056822
3025,1.46317e+06,1.428748e+06,0.9764743672984001,97.64743672984001
3050,1.46317e+06,1.428962e+06,0.9766206250811594,97.66206250811594
3075,1.46317e+06,1.429186e+06,0.9767737173397486,97.67737173397487
3100,1.46317e+06,1.429439e+06,0.9769466295782445,97.69466295782445
3125,1.46317e+06,1.429768e+06,0.9771714838330474,97.71714838330475
3150,1.46317e+06,1.430059e+06,0.9773703670796968,97.73703670796968
3175,1.46317e+06,1.43039e+06,0.9775965882296658,97.75965882296657
3200,1.46317e+06,1.430641e+06,0.9777681335729956,97.77681335729956
3225,1.46317e+06,1.430865e+06,0.9779212258315848,97.79212258315849
3250,1.46317e+06,1.431089e+06,0.9780743180901741,97.8074318090174
3275,1.46317e+06,1.431285e+06,0.9782082738164396,97.82082738164397
3300,1.46317e+06,1.431474e+06,0.9783374454096243,97.83374454096243
3325,1.46317e+06,1.431747e+06,0.9785240265997799,97.852402659978
3350,1.46317e+06,1.432113e+06,0.9787741684151534,97.87741684151534
3375,1.46317e+06,1.432502e+06,0.9790400295249356,97.90400295249356
3400,1.46317e+06,1.432917e+06,0.9793236602718755,97.93236602718754
3425,1.46317e+06,1.433313e+06,0.9795943055147386,97.95943055147386
3450,1.46317e+06,1.43443e+06,0.9803577164649357,98.03577164649357
3475,1.46317e+06,1.434663e+06,0.9805169597517719,98.05169597517718
3500,1.46317e+06,1.43495e+06,0.9807131092080893,98.07131092080893
3525,1.46317e+06,1.43516e+06,0.9808566332005166,98.08566332005167
3550,1.46317e+06,1.435341e+06,0.9809803372130375,98.09803372130375
3575,1.46317e+06,1.435502e+06,0.9810903722738985,98.10903722738985
