trial,order,absolute_interaction_mass,normalized_mass
48,5,25.135341095030807,1.1565854619449543
48,6,8.981321682723866,0.4132693504343584
48,7,2.4868995751603507e-14,1.1443297638464052e-15
49,1,15.905023371160764,0.5306731054222151
49,2,3.00403640759175,0.10023005260769798
49,3,3.0040364075917516,0.10023005260769803
49,4,50.23978506569513,1.6762567482232706
49,5,68.92265265716028,2.299612975472329
49,6,32.79721559853073,1.0942832239047513
49,7,5.234924964973416,0.1746639299412724
50,1,9.748575726281803,0.3900854431434856
50,2,6.599001015609193,0.26405644350059715
50,3,6.5990010156092005,0.2640564435005974
50,4,41.195434670059484,1.6484191988615562
50,5,53.37991443859417,2.13597638910503
50,6,28.09529225726595,1.1242221261999066
50,7,4.6468465017663725,0.1859417444924192
51,1,9.332239928534948,0.3457173859779812
51,2,13.313806578846208,0.49321646711860173
51,3,14.899606551641844,0.5519632016086277
51,4,32.47542476975037,1.203067971451655
51,5,36.963733797318525,1.369339571448531
51,6,12.22573538435129,0.45290833830929716
51,7,1.2434497875801753e-14,4.606420467637726e-16
52,1,6.605257661941792,0.24658396871342084
52,2,10.096194088170568,0.37690575214142413
52,3,17.336686088579846,0.6472039515872626
52,4,33.67346818904076,1.2570800188826867
52,5,29.90069694972927,1.116236927991999
52,6,9.299307926969641,0.34715682147155513
52,7,3.552713678800501e-15,1.326280189898828e-16
53,1,14.13181681071115,0.5121277481064842
53,2,9.055379592572564,0.32816100159737543
53,3,6.895138253207239,0.24987527603821247
53,4,27.061480778584386,0.9806902677268649
53,5,31.51519020926177,1.1420897687255367
53,6,10.606659835982168,0.3843783774932536
53,7,1.7763568394002505e-14,6.43740037237167e-16
54,1,9.643026246291292,0.4589341115805633
54,2,2.7066814413761016,0.1288172831746969
54,3,40.250681016619,1.9156237949657322
54,4,57.22890239649215,2.723656952418453
54,5,31.435818311754844,1.4961039180269602
54,6,6.417171814376424,0.30540817480646654
54,7,0.0,0.0
55,1,8.124670035188931,0.2579647184473314
55,2,2.4947727356683345,0.07921101331616048
55,3,62.66200917635297,1.9895684974911225
55,4,109.32138217171644,3.4710406022715667
55,5,108.73881414907511,3.45254360543524
55,6,59.33899807176303,1.8840602589681823
55,7,12.865933395589625,0.4085035911096193
56,1,5.789731479933154,0.20440570353091855
56,2,5.67620672449395,0.20039772706704392
56,3,48.893903441990034,1.726192789090827
56,4,78.31082147492577,2.764753186420863
56,5,54.154412471438455,1.9119143640588545
56,6,14.429627979363998,0.5094361058080328
56,7,2.4868995751603507e-14,8.779966031814363e-16
57,1,12.015182795464018,0.5206927613811664
57,2,5.220513303305019,0.22623738098693044
57,3,7.900526836855256,0.3423790719689425
57,4,18.453656335283462,0.7997119509846559
57,5,9.604653584256042,0.41622950578694523
57,6,0.3532667413123036,0.01530924981910987
57,7,3.552713678800501e-15,1.5396122783164318e-16
58,1,4.857630988420539,0.14716393382338905
58,2,21.6884977866401,0.6570619836315783
58,3,21.42813723674108,0.649174253413516
58,4,59.3525191279512,1.798109040809888
58,5,74.89700918172534,2.2690357767116116
58,6,25.98916411240449,0.7873524433371348
58,7,0.0,0.0
59,1,6.724196737153809,0.3854057780944687
59,2,9.267062141431724,0.5311533012610887
59,3,7.447989267089389,0.426890855655846
59,4,12.131820003054374,0.6953504947504422
59,5,10.245129157296109,0.5872124402203844
59,6,4.031142907783437,0.23105001678488768
59,7,0.0,0.0
60,1,6.472915522826078,0.2602932893623846
60,2,14.245357831572711,0.572844035280313
60,3,10.108604495969917,0.40649409154819555
60,4,27.629749830040296,1.111066325855743
60,5,15.967539556608642,0.6420975802259563
60,6,0.7608002291879963,0.03059381719175274
60,7,3.552713678800501e-15,1.4286414311397896e-16
61,1,13.486608842476322,0.47910404698611847
61,2,4.238181919235499,0.15055898284629793
61,3,8.788194673163094,0.31219557731617215
61,4,42.898347474128535,1.5239391995369793
61,5,82.59151947816235,2.934016378090109
61,6,54.46462849297545,1.9348247015510498
61,7,13.134796920156049,0.46660613014650915
