n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
5,3,92,3,17.965564067894594,31.791681511585473,31.791681511585473,1.0
5,3,93,1,21.779976107369677,26.16117619632605,26.16117619632605,1.0
5,3,93,2,21.779976107369677,26.58576681475426,26.58576681475426,1.0
5,3,93,3,21.779976107369677,29.10787055185197,29.10787055185197,1.0
5,3,94,1,12.187387328274333,16.48669712941217,16.48669712941217,1.0
5,3,94,2,12.187387328274333,18.245055655973445,18.245055655973445,1.0
5,3,94,3,12.187387328274333,21.436169396648843,19.501526531196944,0.7908218778267834
5,3,95,1,8.092452248442758,10.746637308624987,10.746637308624987,1.0
5,3,95,2,8.092452248442758,15.670547210628971,15.670547210628971,1.0
5,3,95,3,8.092452248442758,21.116347135362567,21.116347135362567,1.0
5,3,96,1,16.235363064380692,19.777466761920333,19.777466761920333,1.0
5,3,96,2,16.235363064380692,22.916955082952065,22.916955082952065,1.0
5,3,96,3,16.235363064380692,28.612164712899208,28.612164712899208,1.0
5,3,97,1,9.25678742101407,13.13115665443915,13.13115665443915,1.0
5,3,97,2,9.25678742101407,15.209453322789296,15.209453322789296,1.0
5,3,97,3,9.25678742101407,20.521813092733808,20.521813092733808,1.0
5,3,98,1,5.79427704050101,6.647664796606499,6.647664796606499,1.0
5,3,98,2,5.79427704050101,9.734749470066287,9.734749470066287,1.0
5,3,98,3,5.79427704050101,12.324045496503553,12.324045496503553,1.0
5,3,99,1,7.365455257308024,11.485515407475337,11.485515407475337,1.0
5,3,99,2,7.365455257308024,16.21849462439762,16.21849462439762,1.0
5,3,99,3,7.365455257308024,20.12055889816554,20.12055889816554,1.0
9,5,0,1,16.211536918852087,19.499158797747334,19.499158797747334,1.0
9,5,0,2,16.211536918852087,25.824804857974822,25.824804857974822,1.0
9,5,0,3,16.211536918852087,29.595382360624694,29.595382360624694,1.0
9,5,1,1,9.879101942543729,10.95981068212535,10.95981068212535,1.0
9,5,1,2,9.879101942543729,14.074837812829962,14.074837812829962,1.0
9,5,1,3,9.879101942543729,17.40191976847357,17.40191976847357,1.0
9,5,2,1,18.53638134362202,22.0542028874749,22.0542028874749,1.0
9,5,2,2,18.53638134362202,25.312112567126526,25.312112567126526,1.0
9,5,2,3,18.53638134362202,28.55652464422372,28.55652464422372,1.0
9,5,3,1,18.95928508703415,23.79088548976477,23.79088548976477,1.0
9,5,3,2,18.95928508703415,28.397263502364673,28.397263502364673,1.0
9,5,3,3,18.95928508703415,31.60612086608768,31.60612086608768,1.0
9,5,4,1,20.892717554619225,24.673041778628004,24.673041778628004,1.0
9,5,4,2,20.892717554619225,27.450325555770604,27.450325555770604,1.0
9,5,4,3,20.892717554619225,29.580753236994994,29.580753236994994,1.0
9,5,5,1,22.678902456733873,28.958559514340706,28.958559514340706,1.0
9,5,5,2,22.678902456733873,32.85245846303576,32.85245846303576,1.0
9,5,5,3,22.678902456733873,36.97594615686852,36.97594615686852,1.0
9,5,6,1,22.98653464669931,28.398098392977577,28.398098392977577,1.0
9,5,6,2,22.98653464669931,31.86911406782622,31.86911406782622,1.0
9,5,6,3,22.98653464669931,34.78951357354764,34.78951357354764,1.0
9,5,7,1,12.02758164622583,16.206558813491974,16.206558813491974,1.0
9,5,7,2,12.02758164622583,19.943880972905088,19.943880972905088,1.0
9,5,7,3,12.02758164622583,25.17707470936142,25.17707470936142,1.0
9,5,8,1,21.701374772133132,27.527602643566084,27.527602643566084,1.0
9,5,8,2,21.701374772133132,31.960448522515243,31.960448522515243,1.0
9,5,8,3,21.701374772133132,34.63072785563895,34.63072785563895,1.0
9,5,9,1,14.29495177313763,15.807229024864805,15.807229024864805,1.0
9,5,9,2,14.29495177313763,19.309271389441776,17.54332791591984,0.6478199220129605
9,5,9,3,14.29495177313763,22.88032574361257,21.404322991762083,0.8280793874644886
