trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
108,20260725,3,4,48,separable,separable,1.3678729210087481,0.0,,0.6839364605043741,True,1e-08,0.32950000604614615,1.0
109,20260725,3,4,49,separable,separable,0.31092434945335823,0.0,,0.15546217472667911,True,1e-08,0.33880000410135835,1.0
110,20260725,3,4,50,separable,separable,0.9895383643369845,0.0,,0.4947691821684922,True,1e-08,0.3403000009711832,1.0
111,20260725,3,4,51,separable,separable,0.2851885246801675,0.0,,0.14259426234008377,True,1e-08,0.32330000249203295,1.0
112,20260725,3,4,52,separable,separable,0.4677964629374259,0.0,,0.2338982314687129,True,1e-08,0.33549999352544546,1.0
113,20260725,3,4,53,separable,separable,0.7219259158314523,0.0,,0.3609629579157262,True,1e-08,0.33650000113993883,1.0
114,20260725,3,4,54,separable,separable,0.34320547935997864,0.0,,0.1716027396799893,True,1e-08,0.3353999927639961,1.0
115,20260725,3,4,55,separable,separable,1.0285683659469398,0.0,,0.5142841829734699,True,1e-08,0.28389999351929873,1.0
116,20260725,3,4,56,separable,separable,0.3056395276048924,0.0,,0.15281976380244622,True,1e-08,0.33239999902434647,1.0
117,20260725,3,4,57,separable,separable,0.8902287954090722,0.0,,0.4451143977045361,True,1e-08,0.28160000510979444,1.0
118,20260725,3,4,58,separable,separable,0.5267525474194912,0.0,,0.2633762737097456,True,1e-08,0.31659999513067305,1.0
119,20260725,3,4,59,separable,separable,0.7713076457404637,0.0,,0.38565382287023187,True,1e-08,0.3232000017305836,1.0
120,20260725,3,4,0,near_boundary,separable,1.9999999996526063e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2877999941119924,1.0
121,20260725,3,4,1,near_boundary,separable,1.9999999998630426e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2826999989338219,1.0000000000000002
122,20260725,3,4,2,near_boundary,separable,1.999999999330956e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.29850000282749534,1.0
123,20260725,3,4,3,near_boundary,separable,1.9999999994813145e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.2874999918276444,1.0
124,20260725,3,4,4,near_boundary,separable,2.0000000000575113e-07,1e-07,,1.0000000000287557e-07,True,1e-08,0.2877000079024583,1.0
125,20260725,3,4,5,near_boundary,separable,1.9999999983690978e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.31380000291392207,1.0000000000000002
126,20260725,3,4,6,near_boundary,separable,1.9999999989718051e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.29569999605882913,1.0
127,20260725,3,4,7,near_boundary,separable,1.9999999993821571e-07,1e-07,,9.999999999940612e-08,True,1e-08,0.30640000477433205,1.0
